typo,orig,historique,typvoie,arrdt,quartier,longueur,largeur,typo_normalized,id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_local,adresse_normalized,typo_match
RUE DE CHARENTON,Conduit à la commune de Charenton.,"Au XVIIIe siècle, cette voie était dénommée rue de la Planchette entre la place du Colonel Bourgoin et la rue Montgallet, et rue de la Vallée de Fécamp, entre la rue Montgallet et le boulevard Poniatowski. De 1800 à 1815, elle a porté le nom de rue de Marengo. La partie comprise entre les rues de Rambouillet et Erard a été englobé dans la place du Colonel Bourgoin en 1972. Précédemment partie de la route nationale n° 5.",rue,12e,"Bercy,Picpus,Quinze-Vingts",3150.0,16.0,ruedecharenton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75116-P-059,VICTOR HUGO POMPE,75116.0,122 ter avenue Victor Hugo. 75116. Paris,https://fr.parkindigo.com/parking/paris-75016/victor-hugo-pompe-75160100,tous,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,190.0,64202088700419.0,2.280732,48.867782,tarif_special,4.6,9.2,13.8,18.4,39.6,,315.0,ouvrage,tarif PMR = 2.30 euros,,122teravenuevictorhugo75116paris,
,,,,,,,,,75116-P-138,VERSAILLES REYNAUD,75116.0,178 ter avenue de Versailles. 75016. Paris,https://fr.parkindigo.com/parking/paris-75016/versailles-reynaud-75160900,tous,0.0,263.0,0.0,1.0,6.0,0.0,0.0,0.0,20.0,0.0,190.0,69200653900112.0,2.262605,48.839659,,4.4,8.8,13.2,17.6,39.6,,206.0,ouvrage,,,178teravenuedeversailles75016paris,
,,,,,,,,,75116-P-140,MARCEAU ETOILE,75116.0,75 ter avenue Marceau. 75116. Paris,https://www.q-park-resa.fr/fr/parking/paris/Marceau.html,tous,0.0,503.0,0.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,190.0,37888823400523.0,2.296885,48.871471,,5.8,11.6,17.4,23.2,46.4,189.0,335.0,ouvrage,,,75teravenuemarceau75116paris,
,,,,,,,,,75117-P-001,AMPERE,75117.0,93 ter rue Ampere. 75017. Paris,https://fr.parkindigo.com,abonnés,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,64202088700419.0,2.2985569,48.8853007,,,,,,,,,ouvrage,abonnes tres longue duree,,93terrueampere75017paris,
,,,,,,,,,75117-P-004,VILLIERS,75117.0,14 ter avenue de Villiers. 75017. Paris,https://fr.parkindigo.com/parking/paris-75017/villiers-75171800,tous,0.0,402.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,190.0,64202088700419.0,2.314306,48.881855,tarif_special,4.2,8.4,12.6,16.8,37.8,250.0,311.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.10 euros,,14teravenuedevilliers75017paris,
,,,,,,,,,75117-P-011,CARNOT,75117.0,14 ter avenue Carnot. 75017. Paris,https://fr.parkindigo.com/parking/paris-75017/carnot-75171300,tous,0.0,398.0,0.0,6.0,1.0,0.0,0.0,0.0,10.0,0.0,190.0,30464607800143.0,2.293277,48.87597,tarif_special,4.4,8.8,13.2,17.6,37.8,,248.0,ouvrage,tarif PMR = 2.20 euros,,14teravenuecarnot75017paris,
,,,,,,,,,75117-P-035,PORTE DE CHAMPERRET,75117.0,6 ter avenue de la Porte de Champerret. 75017. Paris,https://fr.parkindigo.com/parking/paris-75017/porte-de-champerret-75171600,tous,0.0,1467.0,100.0,31.0,6.0,5.0,0.0,3.0,37.0,0.0,190.0,30464607800143.0,2.2878479,48.8863095,,4.2,8.4,12.6,16.8,36.0,104.0,148.0,ouvrage,autre entree = 10 boulevard de l Yser. 75017. Paris,,6teravenuedelaportedechamperret75017paris,
,,,,,,,,,75117-P-036,TERNES,75117.0,4 ter avenue des Ternes. 75017. Paris,https://fr.parkindigo.com/parking/paris-75017/ternes-75172100,tous,0.0,1120.0,0.0,23.0,3.0,0.0,0.0,0.0,102.0,0.0,185.0,50472721500049.0,2.293299,48.878963,tarif_special,4.3,8.6,12.9,17.2,38.7,174.45,240.0,ouvrage,tarif petit rouleur -40 % = contacter le parc|autres entrees = 38 ter avenue des Ternes. 75017. Paris et 59 ter avenue des Ternes. 75017. Paris|tarif PMR = 2.15 euros,,4teravenuedesternes75017paris,
,,,,,,,,,75117-P-040,PORTE DE SAINT OUEN,75117.0,27 ter avenue de la Porte de Saint Ouen. 75017. Paris,https://fr.parkindigo.com/parking/paris-75017/porte-de-saint-ouen-75172000,tous,0.0,535.0,50.0,18.0,1.0,0.0,0.0,0.0,4.0,0.0,190.0,39418789200440.0,2.329427,48.900141,,3.2,6.4,9.6,12.8,38.4,95.0,124.0,ouvrage,,,27teravenuedelaportedesaintouen75017paris,
,,,,,,,,,75117-P-064,PORTE MAILLOT,75117.0,16 place de la Porte Maillot. 75017. Paris,https://fr.parkindigo.com/parking/paris-75017/porte-maillot-75172200,tous,0.0,1445.0,0.0,40.0,2.0,0.0,0.0,3.0,9.0,0.0,190.0,64202088700419.0,2.282264,48.878738,tarif_special,4.4,8.8,13.2,17.6,39.6,160.0,200.0,ouvrage,tarif petit rouleur -30 % = contacter le parc|tarif PMR = 2.20 euros,,16placedelaportemaillot75017paris,
